Unnamed: 0,Joinville,Imóveis residenciais,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Imóveis residenciais.1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Imóveis residenciais.2,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Imóveis comerciais,Unnamed: 48,Unnamed: 49,Unnamed: 50,Imóveis comerciais.1,Unnamed: 52,Unnamed: 53,Unnamed: 54,Imóveis comerciais.2
,2016-09-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2016-10-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2016-11-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2016-12-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-01-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-02-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-03-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-04-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-05-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-06-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-07-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-08-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-09-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-10-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-11-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-12-01 00:00:00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-01-01 00:00:00,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4481.937126622991,.,.,.,.,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.02112766299418,.,.,.,.,0.003657192127294689,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-02-01 00:00:00,100.10558256821615,.,.,.,.,0.0010558256821615597,.,.,.,.,.,.,.,.,.,4486.669270947113,.,.,.,.,100.61905383893004,.,.,.,.,0.006190538389300393,.,.,.,.,.,.,.,.,.,16.120307068831828,.,.,.,.,0.003674541661341568,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-03-01 00:00:00,100.78072347589689,.,.,.,.,0.006744288284029176,.,.,.,.,.,.,.,.,.,4516.928661945475,.,.,.,.,101.35411017730229,.,.,.,.,0.0073053393997215554,.,.,.,.,.,.,.,.,.,16.238071383197376,.,.,.,.,0.0036728167251917476,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-04-01 00:00:00,101.00793748660413,.,.,.,.,0.002254538396537553,.,.,.,.,.,.,.,.,.,4527.112251048253,.,.,.,.,103.54435162975359,.,.,.,.,0.02160979410326669,.,.,.,.,.,.,.,.,.,16.588972762422415,.,.,.,.,0.003746700111782138,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-05-01 00:00:00,100.93837049362843,.,.,.,.,-0.0006887279822432868,.,.,.,.,.,.,.,.,.,4523.994302162199,.,.,.,.,103.97455734426646,.,.,.,.,0.004154796546036232,.,.,.,.,.,.,.,.,.,16.65789656915802,.,.,.,.,0.003765323610132173,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-06-01 00:00:00,100.53388056727091,.,.,.,.,-0.004007295980501757,.,.,.,.,.,.,.,.,.,4505.865317979332,.,.,.,.,103.78938378505168,.,.,.,.,-0.0017809506858649238,.,.,.,.,.,.,.,.,.,16.62822967683811,.,.,.,.,0.0037763969427784157,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-07-01 00:00:00,101.46780619410534,.,.,.,.,0.009289660575764858,.,.,.,.,.,.,.,.,.,4547.72327738347,.,.,.,.,102.94258942046345,.,.,.,.,-0.00815877629972206,.,.,.,.,.,.,.,.,.,16.492563670644387,.,.,.,.,0.003704727817446919,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-08-01 00:00:00,102.34691703291836,.,.,.,.,0.008663938561274342,.,.,.,.,.,.,.,.,.,4587.124472452398,.,.,.,.,103.28178030347244,.,.,.,.,0.003294951923383138,.,.,.,.,.,.,.,.,.,16.546905875032497,.,.,.,.,0.0036864032827962265,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-09-01 00:00:00,103.73577245219646,.,.,.,.,0.013570075773082557,.,.,.,.,.,.,.,.,.,4649.372099124139,.,.,.,.,103.94103460850089,.,.,.,.,0.006383064884158296,.,.,.,.,.,.,.,.,.,16.652525848864887,.,.,.,.,0.0036632680203960892,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-10-01 00:00:00,104.74455286037359,.,.,.,.,0.009724518209395905,.,.,.,.,.,.,.,.,.,4694.585002764328,.,.,.,.,105.13184102531474,.,.,.,.,0.011456557280761004,.,.,.,.,.,.,.,.,.,16.843306465121763,.,.,.,.,0.0036739303559181406,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-11-01 00:00:00,105.67964751287349,.,.,.,.,0.0089273821593987,.,.,.,.,.,.,.,.,.,4736.495357163787,.,.,.,.,106.8860302745147,.,.,.,.,0.016685613341228978,.,.,.,.,.,.,.,.,.,17.124347364186605,.,.,.,.,0.003700361478666848,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-12-01 00:00:00,105.88099459961767,.,.,.,.,0.0019052588789119085,.,.,.,.,.,.,.,.,.,4745.519606997948,.,.,.,.,108.4423890860207,.,.,.,.,0.0145609188357807,.,.,.,.,.,.,.,.,.,17.37369359627224,.,.,.,.,0.003743934512161923,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-01-01 00:00:00,106.25073775789187,.,.,.,.,0.0034920635159536584,.,.,.,.,0.06250737757891867,.,.,.,.,4762.091262881788,.,.,.,.,109.48468378317594,.,.,.,.,0.00961150621947704,.,.,.,.,0.09484683783175929,.,.,.,.,17.5406809603281,.,.,.,.,0.0037592832512383057,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-02-01 00:00:00,105.76379177327227,.,.,.,.,-0.004582989209253041,.,.,.,.,0.05652241423399529,.,.,.,.,4740.266650010522,.,.,.,.,109.67780022173743,.,.,.,.,0.0017638671628621427,.,.,.,.,0.09003012885917738,.,.,.,.,17.571620391488263,.,.,.,.,0.0037873621555612746,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-03-01 00:00:00,106.05380637663708,.,.,.,.,0.0027420972575049607,.,.,.,.,0.05232233624519789,.,.,.,.,4753.264922191358,.,.,.,.,108.7864046037346,.,.,.,.,-0.008127402411433171,.,.,.,.,0.07332997560168741,.,.,.,.,17.428808761545692,.,.,.,.,0.0037527399323510104,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-04-01 00:00:00,105.39087560552154,.,.,.,.,-0.006250890880438842,.,.,.,.,0.043392016785796406,.,.,.,.,4723.552781836923,.,.,.,.,107.17118190789516,.,.,.,.,-0.014847652165020486,.,.,.,.,0.035026828803855325,.,.,.,.,17.1700318714036,.,.,.,.,0.0037314156543899746,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-05-01 00:00:00,105.95032575822961,.,.,.,.,0.005308335750070947,.,.,.,.,0.04965361774804511,.,.,.,.,4748.626985936095,.,.,.,.,107.86596076499808,.,.,.,.,0.006482888820802835,.,.,.,.,0.037426496636546736,.,.,.,.,17.28134327907555,.,.,.,.,0.0037511741785178883,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-06-01 00:00:00,105.96643020649917,.,.,.,.,0.00015199998824266814,.,.,.,.,0.054037003332355615,.,.,.,.,4749.348777182126,.,.,.,.,110.82914217668798,.,.,.,.,0.02747095924121634,.,.,.,.,0.06782734548473357,.,.,.,.,17.7560783559285,.,.,.,.,0.003848006853566567,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-07-01 00:00:00,106.40999241999083,.,.,.,.,0.004185874834391257,.,.,.,.,0.04870693879427357,.,.,.,.,4769.228956708279,.,.,.,.,115.1680761984804,.,.,.,.,0.039149757334358215,.,.,.,.,0.11876024147870057,.,.,.,.,18.451224514772953,.,.,.,.,0.003943807647912594,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-08-01 00:00:00,106.08002135786086,.,.,.,.,-0.003100940566066468,.,.,.,.,0.03647500514101276,.,.,.,.,4754.439861167563,.,.,.,.,117.51288926773569,.,.,.,.,0.020359922182030976,.,.,.,.,0.1377891523795196,.,.,.,.,18.82689001005691,.,.,.,.,0.003997788534602221,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-09-01 00:00:00,106.2881834893783,.,.,.,.,0.0019623123077550098,.,.,.,.,0.02460492631274369,.,.,.,.,4763.769557023614,.,.,.,.,117.11980328074382,.,.,.,.,-0.003345045717463968,.,.,.,.,0.12679081675376258,.,.,.,.,18.763913202255605,.,.,.,.,0.003976516210153245,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-10-01 00:00:00,105.96756109346629,.,.,.,.,-0.0030165384842055776,.,.,.,.,0.01167610343158354,.,.,.,.,4749.399462824965,.,.,.,.,116.08884783599306,.,.,.,.,-0.008802571519689883,.,.,.,.,0.10422158219449407,.,.,.,.,18.598742514303495,.,.,.,.,0.0039382268886135946,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-11-01 00:00:00,105.43395959081542,.,.,.,.,-0.005035517446515758,.,.,.,.,-0.0023248366912668184,.,.,.,.,4725.4837789694375,.,.,.,.,115.51776189891646,.,.,.,.,-0.004919386725961927,.,.,.,.,0.08075640569897624,.,.,.,.,18.50724810725905,.,.,.,.,0.003940433255422991,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-12-01 00:00:00,105.7973099870113,.,.,.,.,0.003446236844428796,.,.,.,.,-0.000790364814033051,.,.,.,.,4741.768915276272,.,.,.,.,115.49002505679822,.,.,.,.,-0.00024010889461756335,.,.,.,.,0.06498967820772616,.,.,.,.,18.5028043523736,.,.,.,.,0.003925445155965701,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-01-01 00:00:00,106.31433129305233,.,.,.,.,0.004886904082008314,.,.,.,.,0.0005985232338374669,.,.,.,.,4764.941485144276,.,.,.,.,114.99400375548122,.,.,.,.,-0.0042949276448165374,.,.,.,.,0.050320462935399934,.,.,.,.,18.42333614645396,.,.,.,.,0.003897065641591648,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-02-01 00:00:00,106.42515517434649,.,.,.,.,0.001042417141191132,.,.,.,.,0.0062532118978109175,.,.,.,.,4769.908541825163,.,.,.,.,115.82397627043541,.,.,.,.,0.007217528634962722,.,.,.,.,0.05603846937367596,.,.,.,.,18.556307102642535,.,.,.,.,0.003920754674979705,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-03-01 00:00:00,106.41968191260116,.,.,.,.,-5.142827122361915e-05,.,.,.,.,0.0034499048027065715,.,.,.,.,4769.663233674963,.,.,.,.,117.3918372970647,.,.,.,.,0.013536584368063043,.,.,.,.,0.07910393513487501,.,.,.,.,18.807496119297145,.,.,.,.,0.003974939162724103,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-04-01 00:00:00,106.41867392426032,.,.,.,.,-9.47182253063783e-06,.,.,.,.,0.009752251443339688,.,.,.,.,4769.6180562712825,.,.,.,.,118.5869655734563,.,.,.,.,0.010180676134808886,.,.,.,.,0.10651915433173142,.,.,.,.,18.998969146194387,.,.,.,.,0.004018177222436624,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-05-01 00:00:00,106.0808819428312,.,.,.,.,-0.0031741795774445913,.,.,.,.,0.00123223957705898,.,.,.,.,4754.478432044855,.,.,.,.,118.69038945474966,.,.,.,.,0.0008721353210552341,.,.,.,.,0.10035073727599952,.,.,.,.,19.01553881825042,.,.,.,.,0.004038366205280023,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-06-01 00:00:00,106.1753590776078,.,.,.,.,0.0008906141525812927,.,.,.,.,0.001971651500399574,.,.,.,.,4758.712837824577,.,.,.,.,118.8516385021648,.,.,.,.,0.0013585686941959274,.,.,.,.,0.07238616277194554,.,.,.,.,19.041372733992162,.,.,.,.,0.004042896134303868,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-07-01 00:00:00,106.15109902953155,.,.,.,.,-0.0002284903793779991,.,.,.,.,-0.002432980066735202,.,.,.,.,4757.625517722911,.,.,.,.,119.18635287715745,.,.,.,.,0.0028162369422155553,.,.,.,.,0.03489054268608216,.,.,.,.,19.094997751316125,.,.,.,.,0.00405694573494813,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-08-01 00:00:00,106.50021074820097,.,.,.,.,0.0032888186920447815,.,.,.,.,0.003961060574475317,.,.,.,.,4773.272485455348,.,.,.,.,118.72596132242695,.,.,.,.,-0.0038627875055881056,.,.,.,.,0.010322885108606794,.,.,.,.,19.02123783258311,.,.,.,.,0.004026467669543015,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-09-01 00:00:00,106.89707907431607,.,.,.,.,0.0037264557818896815,.,.,.,.,0.005728723221604559,.,.,.,.,4791.059874307308,.,.,.,.,116.62571480262947,.,.,.,.,-0.01768986745951706,.,.,.,.,-0.004218658709065459,.,.,.,.,18.684754656408764,.,.,.,.,0.003935961955719518,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-10-01 00:00:00,107.42708133587693,.,.,.,.,0.004958061213182541,.,.,.,.,0.013773273890141713,.,.,.,.,4814.814242440146,.,.,.,.,116.45411658079435,.,.,.,.,-0.0014713583717409495,.,.,.,.,0.0031464585238827336,.,.,.,.,18.65726268622113,.,.,.,.,0.00391032368999919,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-11-01 00:00:00,108.49511922313371,.,.,.,.,0.009941979936302081,.,.,.,.,0.02903390562394237,.,.,.,.,4862.683029035507,.,.,.,.,117.63218482377533,.,.,.,.,0.0101161579991349,.,.,.,.,0.01830387717093318,.,.,.,.,18.846002503386305,.,.,.,.,0.0039107430610060044,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-12-01 00:00:00,109.79379178131137,.,.,.,.,0.011969870787521542,.,.,.,.,0.037774890446559795,.,.,.,.,4920.888716573736,.,.,.,.,120.44489179412473,.,.,.,.,0.023911032295822032,.,.,.,.,0.04290298434769313,.,.,.,.,19.296629877891917,.,.,.,.,0.003958805222494358,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-01-01 00:00:00,110.71321646874712,.,.,.,.,0.008374104514643932,.,.,.,.,0.04137622014072018,.,.,.,.,4962.096752991257,.,.,.,.,120.63845770935214,.,.,.,.,0.001607091113156267,.,.,.,.,0.04908476763599845,.,.,.,.,19.327641320282545,.,.,.,.,0.003943648129833333,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-02-01 00:00:00,111.16603360508817,.,.,.,.,0.004090000731474364,.,.,.,.,0.04454659636601099,.,.,.,.,4982.391732340638,.,.,.,.,120.30065549733628,.,.,.,.,-0.00280012044608291,.,.,.,.,0.03865071266806064,.,.,.,.,19.273521596647065,.,.,.,.,0.003915993512705604,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-03-01 00:00:00,111.49675159845151,.,.,.,.,0.0029749913947474393,.,.,.,.,0.04770799531255854,.,.,.,.,4997.214304869612,.,.,.,.,118.91085115111719,.,.,.,.,-0.011552757883766196,.,.,.,.,0.012939688900247548,.,.,.,.,19.050859268073463,.,.,.,.,0.0038591815898366705,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-04-01 00:00:00,112.34723959413725,.,.,.,.,0.007627917257614136,.,.,.,.,0.055709824707046884,.,.,.,.,5035.332642105723,.,.,.,.,119.06864668979738,.,.,.,.,0.00132700705741029,.,.,.,.,0.004061838617859914,.,.,.,.,19.076139892771927,.,.,.,.,0.0038363225123804945,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-05-01 00:00:00,113.79588304280647,.,.,.,.,0.012894339495145068,.,.,.,.,0.07272753543030519,.,.,.,.,5100.25993066402,.,.,.,.,120.99785727816614,.,.,.,.,0.01620250705792281,.,.,.,.,0.019441067082319963,.,.,.,.,19.385221184022488,.,.,.,.,0.0038488845486871304,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-06-01 00:00:00,114.7812556455572,.,.,.,.,0.00865912347971376,.,.,.,.,0.08105361397138311,.,.,.,.,5144.423711182277,.,.,.,.,122.44736451759718,.,.,.,.,0.011979610813261932,.,.,.,.,0.030253903612501576,.,.,.,.,19.617448589336078,.,.,.,.,0.003860061890951449,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-07-01 00:00:00,115.79699479036188,.,.,.,.,0.008849346864973073,.,.,.,.,0.09086948556365693,.,.,.,.,5189.948501022921,.,.,.,.,124.55728781985019,.,.,.,.,0.017231267578240006,.,.,.,.,0.04506333831884635,.,.,.,.,19.955482095181296,.,.,.,.,0.003889004631382453,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-08-01 00:00:00,116.72464359415545,.,.,.,.,0.008010992042349452,.,.,.,.,0.09600387430338664,.,.,.,.,5231.525137164819,.,.,.,.,125.81782806499777,.,.,.,.,0.010120164521972619,.,.,.,.,0.05973307491957258,.,.,.,.,20.15743485709981,.,.,.,.,0.0038969879717637127,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-09-01 00:00:00,117.8176835836546,.,.,.,.,0.009364260672318547,.,.,.,.,0.10215998981362628,.,.,.,.,5280.514502263018,.,.,.,.,128.70453970954574,.,.,.,.,0.02294358191477186,.,.,.,.,0.10356913933910517,.,.,.,.,20.619918614935358,.,.,.,.,0.003951652055388441,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-10-01 00:00:00,118.67795959503985,.,.,.,.,0.007301756283252914,.,.,.,.,0.10473037263282237,.,.,.,.,5319.071532208724,.,.,.,.,131.9195690505771,.,.,.,.,0.024979921829384466,.,.,.,.,0.13280296930553792,.,.,.,.,21.135002570064714,.,.,.,.,0.004025561728158283,.,.,.,.,.,.,.,.,.,.,.,.,.
