Unnamed: 0,Joinville,Imóveis residenciais,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Imóveis residenciais.1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Imóveis residenciais.2,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Imóveis comerciais,Unnamed: 48,Unnamed: 49,Unnamed: 50,Imóveis comerciais.1,Unnamed: 52,Unnamed: 53,Unnamed: 54,Imóveis comerciais.2
,2021-11-01 00:00:00,119.29789327752347,.,.,.,.,0.005223663135084156,.,.,.,.,0.09956921686193554,.,.,.,.,5346.856570084399,.,.,.,.,134.78494762858048,.,.,.,.,0.021720648411948762,.,.,.,.,0.1458169193278327,.,.,.,.,21.594068530074722,.,.,.,.,0.00409559789923669,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-12-01 00:00:00,120.11465889620555,.,.,.,.,0.006846437906342873,.,.,.,.,0.09400228325706617,.,.,.,.,5383.463491585603,.,.,.,.,138.13937654867203,.,.,.,.,0.024887266561360866,.,.,.,.,0.14690938312927626,.,.,.,.,22.131485869726987,.,.,.,.,0.004173461992593911,.,.,.,.,.,.,.,.,.,.,.,.,.
,2022-01-01 00:00:00,121.8026290662605,.,.,.,.,0.01405299058055487,.,.,.,.,0.10016340371290511,.,.,.,.,5459.117253323617,.,.,.,.,140.22411949084682,.,.,.,.,0.015091590785052178,.,.,.,.,0.16235006774275407,.,.,.,.,22.46548519793807,.,.,.,.,0.0041673073440361376,.,.,.,.,.,.,.,.,.,.,.,.,.
,2022-02-01 00:00:00,123.26021408229671,.,.,.,.,0.011966777952250096,.,.,.,.,0.10879384723010377,.,.,.,.,5524.445297309438,.,.,.,.,143.00449879768436,.,.,.,.,0.019828110291817858,.,.,.,.,0.18872584863721542,.,.,.,.,22.910933316201987,.,.,.,.,0.004203802308398547,.,.,.,.,.,.,.,.,.,.,.,.,.
,2022-03-01 00:00:00,124.71552907573023,.,.,.,.,0.011806851093588477,.,.,.,.,0.11855751210479482,.,.,.,.,5589.671600309446,.,.,.,.,147.6713248515023,.,.,.,.,0.03263412055602766,.,.,.,.,0.24186584674122824,.,.,.,.,23.65861147609403,.,.,.,.,0.0042973884287467986,.,.,.,.,.,.,.,.,.,.,.,.,.
,2022-04-01 00:00:00,125.87003754789743,.,.,.,.,0.009257134863022154,.,.,.,.,0.12036609001353571,.,.,.,.,5641.415944153516,.,.,.,.,151.61236583904642,.,.,.,.,0.026687923274929748,.,.,.,.,0.2733189639253506,.,.,.,.,24.2900106839594,.,.,.,.,0.004377903209914748,.,.,.,.,.,.,.,.,.,.,.,.,.
,2022-05-01 00:00:00,126.64842248369216,.,.,.,.,0.0061840367331147394,.,.,.,.,0.11294379987412162,.,.,.,.,5676.30266757894,.,.,.,.,154.26952015590683,.,.,.,.,0.017525973571847597,.,.,.,.,0.274977289897385,.,.,.,.,24.71571676926637,.,.,.,.,0.0044310001498624975,.,.,.,.,.,.,.,.,.,.,.,.,.
,2022-06-01 00:00:00,127.77464687359755,.,.,.,.,0.008892526000869871,.,.,.,.,0.11320133374532637,.,.,.,.,5726.7793366391925,.,.,.,.,152.1583028744401,.,.,.,.,-0.013685252143995186,.,.,.,.,0.24264253031410155,.,.,.,.,24.377475953359387,.,.,.,.,0.004333095120205277,.,.,.,.,.,.,.,.,.,.,.,.,.
,2022-07-01 00:00:00,128.26808412387493,.,.,.,.,0.0038617774523417303,.,.,.,.,0.10769786691002325,.,.,.,.,5748.8948839559625,.,.,.,.,150.97456820933215,.,.,.,.,-0.007779625841941362,.,.,.,.,0.21208939959972328,.,.,.,.,24.187828311471325,.,.,.,.,0.004281364763481393,.,.,.,.,.,.,.,.,.,.,.,.,.
,2022-08-01 00:00:00,129.04732940104614,.,.,.,.,0.006075129931921719,.,.,.,.,0.10557055843096785,.,.,.,.,5783.820167340955,.,.,.,.,149.83276142163174,.,.,.,.,-0.0075629081191823655,.,.,.,.,0.19087067171615613,.,.,.,.,24.00489798834911,.,.,.,.,0.004224108055043578,.,.,.,.,.,.,.,.,.,.,.,.,.
,2022-09-01 00:00:00,129.97567740217872,.,.,.,.,0.0071938567457487945,.,.,.,.,0.10319328515648096,.,.,.,.,5825.428141067978,.,.,.,.,150.76148876589517,.,.,.,.,0.006198426401886614,.,.,.,.,0.1713766204838345,.,.,.,.,24.15369058181469,.,.,.,.,0.004215665352069961,.,.,.,.,.,.,.,.,.,.,.,.,.
,2022-10-01 00:00:00,130.68684267026035,.,.,.,.,0.005471525767710261,.,.,.,.,0.10118882323388378,.,.,.,.,5857.302121249776,.,.,.,.,150.45806323393845,.,.,.,.,-0.002012619631449053,.,.,.,.,0.14052876549538906,.,.,.,.,24.105078389977784,.,.,.,.,0.004184899276591687,.,.,.,.,.,.,.,.,.,.,.,.,.
,2022-11-01 00:00:00,131.6172266612806,.,.,.,.,0.0071191863848736325,.,.,.,.,0.10326530540735179,.,.,.,.,5899.001346763469,.,.,.,.,151.94171649995187,.,.,.,.,0.009860908974393512,.,.,.,.,0.12728994723245624,.,.,.,.,24.34277637380198,.,.,.,.,0.004196741944552829,.,.,.,.,.,.,.,.,.,.,.,.,.
,2022-12-01 00:00:00,132.75862229758096,.,.,.,.,0.008672083930455043,.,.,.,.,0.10526578119246377,.,.,.,.,5950.157981548469,.,.,.,.,153.30171251505857,.,.,.,.,0.0089507743260695,.,.,.,.,0.10976114374632528,.,.,.,.,24.560663071593854,.,.,.,.,0.0041933850501478034,.,.,.,.,.,.,.,.,.,.,.,.,.
,2023-01-01 00:00:00,133.88764444135396,.,.,.,.,0.008504322538405606,.,.,.,.,0.09921801744130843,.,.,.,.,6000.760044178027,.,.,.,.,156.11025818383254,.,.,.,.,0.018320380266450664,.,.,.,.,0.11329105685005003,.,.,.,.,25.010623758661627,.,.,.,.,0.004147094984934589,.,.,.,.,.,.,.,.,.,.,.,.,.
,2023-02-01 00:00:00,135.263957948644,.,.,.,.,0.010279615516672225,.,.,.,.,0.097385388754337,.,.,.,.,6062.445550239986,.,.,.,.,158.13246681254375,.,.,.,.,0.01295372035276432,.,.,.,.,0.10578665805655318,.,.,.,.,25.334604384679537,.,.,.,.,0.004156555530166259,.,.,.,.,.,.,.,.,.,.,.,.,.
,2023-03-01 00:00:00,135.83782124887227,.,.,.,.,0.004242544051876518,.,.,.,.,0.08918129326451663,.,.,.,.,6088.165742548982,.,.,.,.,161.18587300123934,.,.,.,.,0.019309166866505745,.,.,.,.,0.0915177551452675,.,.,.,.,25.82379448824022,.,.,.,.,0.004222178279418361,.,.,.,.,.,.,.,.,.,.,.,.,.
,2023-04-01 00:00:00,136.92516450774818,.,.,.,.,0.008004716572152182,.,.,.,.,0.08782969462167634,.,.,.,.,6136.899783762374,.,.,.,.,163.73642502681028,.,.,.,.,0.01582366976758154,.,.,.,.,0.07996748234002826,.,.,.,.,26.232421684368024,.,.,.,.,0.004255772129793244,.,.,.,.,.,.,.,.,.,.,.,.,.
,2023-05-01 00:00:00,137.86572237057302,.,.,.,.,0.006869138088723137,.,.,.,.,0.08857038774663972,.,.,.,.,6179.054995813693,.,.,.,.,167.04563472174493,.,.,.,.,0.020210589637539744,.,.,.,.,0.08281684258125899,.,.,.,.,26.762594394229684,.,.,.,.,0.004318737618722877,.,.,.,.,.,.,.,.,.,.,.,.,.
,2023-06-01 00:00:00,138.85664881725432,.,.,.,.,0.007187620168686681,.,.,.,.,0.08673083600551657,.,.,.,.,6223.467696125028,.,.,.,.,169.25280861227907,.,.,.,.,0.013212999514837565,.,.,.,.,0.11234684808455864,.,.,.,.,27.116208540976434,.,.,.,.,0.004354399287230896,.,.,.,.,.,.,.,.,.,.,.,.,.
,2023-07-01 00:00:00,140.60884807132385,.,.,.,.,0.012618763804213229,.,.,.,.,0.09621071392577152,.,.,.,.,6302.000165025582,.,.,.,.,173.73300274355753,.,.,.,.,0.02647042709667291,.,.,.,.,0.15074349808816767,.,.,.,.,27.83398616229853,.,.,.,.,0.004415270938529877,.,.,.,.,.,.,.,.,.,.,.,.,.
,2023-08-01 00:00:00,142.412749401978,.,.,.,.,0.012829216335938698,.,.,.,.,0.10356990774598329,.,.,.,.,6382.849888491816,.,.,.,.,175.91561359454232,.,.,.,.,0.012563018059421172,.,.,.,.,0.1740797668375944,.,.,.,.,28.183665033121166,.,.,.,.,0.004420032321003545,.,.,.,.,.,.,.,.,.,.,.,.,.
,2023-09-01 00:00:00,144.29388765777216,.,.,.,.,0.013209057922787482,.,.,.,.,0.11016068961340486,.,.,.,.,6467.161322381363,.,.,.,.,175.4166295433745,.,.,.,.,-0.002836496664348931,.,.,.,.,0.1635373926013972,.,.,.,.,28.10372216126559,.,.,.,.,0.004342910850949601,.,.,.,.,.,.,.,.,.,.,.,.,.
,2023-10-01 00:00:00,145.4186835287736,.,.,.,.,0.007795173373311481,.,.,.,.,0.11272627417959424,.,.,.,.,6517.5739661225,.,.,.,.,173.18682681535654,.,.,.,.,-0.01271146717288063,.,.,.,.,0.15106377878916644,.,.,.,.,27.746482619576906,.,.,.,.,0.00425978410911727,.,.,.,.,.,.,.,.,.,.,.,.,.
,2023-11-01 00:00:00,146.41462521454432,.,.,.,.,0.006848787663337852,.,.,.,.,0.11242752129510447,.,.,.,.,6562.211446296572,.,.,.,.,172.08008702543583,.,.,.,.,-0.006390438639427565,.,.,.,.,0.1325401014901022,.,.,.,.,27.569170424936555,.,.,.,.,0.004204652743160912,.,.,.,.,.,.,.,.,.,.,.,.,.
,2023-12-01 00:00:00,147.31505416937105,.,.,.,.,0.0061498566383468845,.,.,.,.,0.10964584913484243,.,.,.,.,6602.568105921815,.,.,.,.,175.8118648053433,.,.,.,.,0.021686284824785407,.,.,.,.,0.14683562186608712,.,.,.,.,28.16704330715478,.,.,.,.,0.004280362863559576,.,.,.,.,.,.,.,.,.,.,.,.,.
,2024-01-01 00:00:00,147.61964036392914,.,.,.,.,0.002067583630712244,.,.,.,.,0.10256357843826369,.,.,.,.,6616.219467658282,.,.,.,.,179.9234061377704,.,.,.,.,0.02338602879264906,.,.,.,.,0.15254057120254028,.,.,.,.,28.8257585929397,.,.,.,.,0.004280658903770339,.,.,.,.,.,.,.,.,.,.,.,.,.
,2024-02-01 00:00:00,147.88018047247155,.,.,.,.,0.0017649420354912682,.,.,.,.,0.09327113234863038,.,.,.,.,6627.896711512789,.,.,.,.,180.5429378316581,.,.,.,.,0.00344330794523362,.,.,.,.,0.14171960680080042,.,.,.,.,28.925014556530154,.,.,.,.,0.004291951342164067,.,.,.,.,.,.,.,.,.,.,.,.,.
,2024-03-01 00:00:00,148.29733699115482,.,.,.,.,0.0028209089098381046,.,.,.,.,0.09172346573091095,.,.,.,.,6646.593404399782,.,.,.,.,181.05965800579142,.,.,.,.,0.0028620348175298904,.,.,.,.,0.12329731281350731,.,.,.,.,29.0077989552885,.,.,.,.,0.004290312781346569,.,.,.,.,.,.,.,.,.,.,.,.,.
,2024-04-01 00:00:00,149.4208662712371,.,.,.,.,0.007576193226917383,.,.,.,.,0.09125935183946265,.,.,.,.,6696.949280332269,.,.,.,.,182.999386324974,.,.,.,.,0.010713199950485697,.,.,.,.,0.11764615781130927,.,.,.,.,29.318565305619995,.,.,.,.,0.004284458713752733,.,.,.,.,.,.,.,.,.,.,.,.,.
,2024-05-01 00:00:00,151.65234627197313,.,.,.,.,0.014934192636022692,.,.,.,.,0.10000037474393131,.,.,.,.,6796.962810958425,.,.,.,.,186.19095826664832,.,.,.,.,0.017440342318999047,.,.,.,.,0.11461133705645521,.,.,.,.,29.82989112085194,.,.,.,.,0.004250446930077863,.,.,.,.,.,.,.,.,.,.,.,.,.
,2024-06-01 00:00:00,154.8212677989632,.,.,.,.,0.020895961090551918,.,.,.,.,0.11497194493523666,.,.,.,.,6938.99188139014,.,.,.,.,190.71149290605192,.,.,.,.,0.024279023436410085,.,.,.,.,0.12678480475281195,.,.,.,.,30.554131746480664,.,.,.,.,0.004241476366889179,.,.,.,.,.,.,.,.,.,.,.,.,.
,2024-07-01 00:00:00,159.70674415535214,.,.,.,.,0.03155558939572045,.,.,.,.,0.13582286140585476,.,.,.,.,7157.955860019525,.,.,.,.,193.8278448429551,.,.,.,.,0.016340661432703296,.,.,.,.,0.11566508252354901,.,.,.,.,31.053406468720112,.,.,.,.,0.004207811026569659,.,.,.,.,.,.,.,.,.,.,.,.,.
,2024-08-01 00:00:00,163.47477133499652,.,.,.,.,0.02359341303695417,.,.,.,.,0.14789421608291753,.,.,.,.,7326.836469125251,.,.,.,.,196.89941258401734,.,.,.,.,0.015846885897900398,.,.,.,.,0.11928332318380419,.,.,.,.,31.54550625777104,.,.,.,.,0.00422193593278107,.,.,.,.,.,.,.,.,.,.,.,.,.
,2024-09-01 00:00:00,166.00976256647394,.,.,.,.,0.015506926302913504,.,.,.,.,0.15049753846958658,.,.,.,.,7440.453182285475,.,.,.,.,198.68597231355372,.,.,.,.,0.009073463989000219,.,.,.,.,0.1326518633424405,.,.,.,.,31.831733272815708,.,.,.,.,0.004215935297894231,.,.,.,.,.,.,.,.,.,.,.,.,.
,2024-10-01 00:00:00,167.67830574545602,.,.,.,.,0.01005087383529002,.,.,.,.,0.1530726429130267,.,.,.,.,7515.236238498008,.,.,.,.,200.9108436463376,.,.,.,.,0.011197928605008567,.,.,.,.,0.16008155666792767,.,.,.,.,32.18818274937838,.,.,.,.,0.004228833279017948,.,.,.,.,.,.,.,.,.,.,.,.,.
,2024-11-01 00:00:00,168.87049305448292,.,.,.,.,0.007109967528158956,.,.,.,.,0.15337175372360212,.,.,.,.,7568.669324120173,.,.,.,.,204.59119289120423,.,.,.,.,0.01831832059470684,.,.,.,.,0.18893008730849137,.,.,.,.,32.7778162003425,.,.,.,.,0.004283575705165506,.,.,.,.,.,.,.,.,.,.,.,.,.
,2024-12-01 00:00:00,169.86523394016078,.,.,.,.,0.005890554754032218,.,.,.,.,0.15307451025923902,.,.,.,.,7613.252985189067,.,.,.,.,207.35715219830072,.,.,.,.,0.01351944464475241,.,.,.,.,0.17942638528909272,.,.,.,.,33.2209540720389,.,.,.,.,0.004326367106302944,.,.,.,.,.,.,.,.,.,.,.,.,.
,2025-01-01 00:00:00,169.8651121538222,.,.,.,.,-7.16958589830341e-07,.,.,.,.,0.15069452638585856,.,.,.,.,7613.2475268019425,.,.,.,.,208.80941317136475,.,.,.,.,0.007003669551148173,.,.,.,.,0.16054613267756745,.,.,.,.,33.453622656533334,.,.,.,.,0.004324405609767063,.,.,.,.,.,.,.,.,.,.,.,.,.
,2025-02-01 00:00:00,170.04155990919344,.,.,.,.,0.0010387521789139154,.,.,.,.,0.149860375919999,.,.,.,.,7621.155804259019,.,.,.,.,209.41101655758217,.,.,.,.,0.002881112384161,.,.,.,.,0.15989591768381017,.,.,.,.,33.55000630306412,.,.,.,.,0.004325897657195808,.,.,.,.,.,.,.,.,.,.,.,.,.
,2025-03-01 00:00:00,170.55732069077592,.,.,.,.,0.0030331454372560795,.,.,.,.,0.15010373180840597,.,.,.,.,7644.271878213325,.,.,.,.,212.75307877022476,.,.,.,.,0.015959342863528958,.,.,.,.,0.1750440772588866,.,.,.,.,34.08544235672828,.,.,.,.,0.004376234775404384,.,.,.,.,.,.,.,.,.,.,.,.,.
,2025-04-01 00:00:00,172.05881475354852,.,.,.,.,0.008803457140927007,.,.,.,.,0.15150459937247152,.,.,.,.,7711.56789806677,.,.,.,.,216.59031049475004,.,.,.,.,0.018036080825272194,.,.,.,.,0.18355757822118912,.,.,.,.,34.70021015003939,.,.,.,.,0.004419729086750702,.,.,.,.,.,.,.,.,.,.,.,.,.
,2025-05-01 00:00:00,172.78830557601242,.,.,.,.,0.004239775936552892,.,.,.,.,0.1393711328813474,.,.,.,.,7744.2632180740875,.,.,.,.,220.55462045932046,.,.,.,.,0.018303265531661506,.,.,.,.,0.1845613906957777,.,.,.,.,35.335337310420016,.,.,.,.,0.004468956583355759,.,.,.,.,.,.,.,.,.,.,.,.,.
,2025-06-01 00:00:00,173.2526046545996,.,.,.,.,0.002687097816251871,.,.,.,.,0.11904912753698449,.,.,.,.,7765.072810855855,.,.,.,.,222.30593779030204,.,.,.,.,0.007940515267076842,.,.,.,.,0.16566618195272653,.,.,.,.,35.61591809580072,.,.,.,.,0.004475934343602427,.,.,.,.,.,.,.,.,.,.,.,.,.
,2025-07-01 00:00:00,173.37773233529518,.,.,.,.,0.0007222268371955831,.,.,.,.,0.0856005690445032,.,.,.,.,7770.680954832633,.,.,.,.,222.0824691074492,.,.,.,.,-0.00100523038239142,.,.,.,.,0.14577175063462544,.,.,.,.,35.58011589283406,.,.,.,.,0.004440021095992134,.,.,.,.,.,.,.,.,.,.,.,.,.
,2025-08-01 00:00:00,175.277335036836,.,.,.,.,0.010956439883913038,.,.,.,.,0.07219807439065562,.,.,.,.,7855.819953571324,.,.,.,.,223.50640207705493,.,.,.,.,0.006411730630195622,.,.,.,.,0.13512985713801617,.,.,.,.,35.808246011730056,.,.,.,.,0.00442988066999685,.,.,.,.,.,.,.,.,.,.,.,.,.
,2025-09-01 00:00:00,177.02442487109707,.,.,.,.,0.00996757415266436,.,.,.,.,0.06634948532145879,.,.,.,.,7934.123421488526,.,.,.,.,226.57880827758973,.,.,.,.,0.013746390134612652,.,.,.,.,0.14038653881421115,.,.,.,.,36.300480131443486,.,.,.,.,0.004449388825646352,.,.,.,.,.,.,.,.,.,.,.,.,.
,2025-10-01 00:00:00,179.18642220189386,.,.,.,.,0.012212988870722752,.,.,.,.,0.0686321131721579,.,.,.,.,8031.022782534106,.,.,.,.,230.84008845634952,.,.,.,.,0.018807055307392906,.,.,.,.,0.14896779221482048,.,.,.,.,36.98318526896046,.,.,.,.,0.004491541450473361,.,.,.,.,.,.,.,.,.,.,.,.,.
,2025-11-01 00:00:00,180.6147581190331,.,.,.,.,0.007971228509322525,.,.,.,.,0.06954598670332013,.,.,.,.,8095.03990029726,.,.,.,.,233.20857844980563,.,.,.,.,0.0102603062115183,.,.,.,.,0.1398759406707175,.,.,.,.,37.36264407449731,.,.,.,.,0.004495920518237354,.,.,.,.,.,.,.,.,.,.,.,.,.
,2025-12-01 00:00:00,181.737170672547,.,.,.,.,0.0062144011109777075,.,.,.,.,0.06989032691980035,.,.,.,.,8145.345725247076,.,.,.,.,231.1875292419935,.,.,.,.,-0.008666273004391711,.,.,.,.,0.114924307124469,.,.,.,.,37.0388492007818,.,.,.,.,0.004427605703684275,.,.,.,.,.,.,.,.,.,.,.,.,.
,2026-01-01 00:00:00,181.94988650156523,.,.,.,.,0.0011704585706437953,.,.,.,.,0.07114335718802356,.,.,.,.,8154.879514962049,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nota: Os preços considerados para o cálculo são médias móveis trimestrais.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fonte: ZAP e IBGE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Note: Monthly prices are 3-months moving averages.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source: ZAP and IBGE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
